Link,ID,name,tag,description,date,developer,price,Recent_Description,Recent_Count,Recent_Percentage,Overall_Description,Overall_Count,Overall_Percentage,peak
https://store.steampowered.com/app/627690/,627690,Idle Champions of the Forgotten Realms,"龙与地下城
免费开玩
懒人游戏
策略
奇幻
点击游戏
冒险
独立
单人
管理
动作
休闲
2D
角色扮演
刷宝
解谜
迷宫探索
魔法
动作冒险
欢乐",《Idle Champions》现已推出简体中文版！欢迎来到《Forgotten Realms》！《Idle Champions of the Forgotten Realms》是一款“龙与地下城”系列战略管理游戏，它将“龙与地下城”多元宇宙世界的角色汇入一场宏大的冒险旅程当中。,2020 年 3 月 25 日,Codename Entertainment Inc.,0,褒贬不一,254,66.0,多半好评,13632,77.0,18578
https://store.steampowered.com/app/394510/,394510,HELLDIVERS™ Dive Harder Edition,"在线合作
合作
俯视射击
双摇杆射击
本地合作
动作
多人
科幻
4 人本地
俯视
射击
喜剧
欢乐
太空
困难
策略
等角视角
生存
机甲
砍杀",绝地潜兵是一款使用双操作杆操作游玩的合作式射击游戏，极具挑战性且耐玩度高。玩家将扮演精英部队“绝地潜兵”的一员，与其他玩家并肩作战，投身银河之战中保护超级地球，打倒敌人。,2015 年 12 月 7 日,Arrowhead Game Studios,0,褒贬不一,1270,66.0,特别好评,22195,90.0,6691
https://store.steampowered.com/app/2134770/,2134770,SteamWorld Build,"模拟
建造
基地建设
策略
城市营造
单人
资源管理
经济
控制器
卡通风格
孩童
氛围
管理
资本主义
蒸汽朋克
沙盒
科幻
西部
原声音轨
采矿",在星球消亡之际，开辟新的疆域吧！深挖广建，挖掘失传已久的航天技术，同时确保每个人都能获得所需的水、燃料和生活必需品！你有能力抵达最后的疆界吗？,2023 年 12 月 1 日,The Station,0,多半好评,60,76.0,多半好评,877,77.0,2615
https://store.steampowered.com/app/262060/,262060,Darkest Dungeon®,"回合制战斗
迷宫探索
黑暗奇幻
类 Rogue
角色扮演
洛夫克拉夫特式
困难
回合制
单人
永久死亡
策略
氛围
黑暗
独立
2D
轻度 Rogue
恐怖
哥特
奇幻
Kickstarter",《Darkest Dungeon》是一个极具挑战性的哥特式类 Rogue 回合制 RPG，聚焦冒险的心理压力。招募、训练和领导一队有缺点的英雄，对抗难以想象的恐怖、压力、饥荒、疾病和不断侵蚀的黑暗。当失去了所有的希望，你是否还能将你的英雄团结在一起？,2016 年 1 月 19 日,Red Hook Studios,0,特别好评,2000,89.0,特别好评,117696,91.0,19737
https://store.steampowered.com/app/239140/,239140,Dying Light,"僵尸
生存恐怖
恐怖
在线合作
开放世界
跑酷
第一人称
生存
开放世界生存制作
血腥
第一人称射击
动作
玩家对战环境
潜行
玩家对战
后末日
剧情丰富
多人
砍杀
动作角色扮演",以丧尸横行的末世为背景的开放世界第一人称动作生存游戏。在一个被神秘病毒摧残过后的城市里漫游。收集物资，制作武器并迎战成群的感染者。,2015 年 1 月 26 日,Techland,0,特别好评,1590,93.0,好评如潮,299333,95.0,45770
https://store.steampowered.com/app/509980/,509980,BIGFOOT,"恐怖
多人
合作
生存恐怖
在线合作
生存
开放世界
动作
狩猎
氛围
心理恐怖
冒险
第一人称射击
第一人称
灵异
单人
射击
欢乐
多结局
抢先体验",You are a Bigfoot hunter with an important mission: to put an end to rumours once and for all and prove to yourself that Bigfoot is not just a myth or an invention of the mind...,2017 年 1 月 31 日,CyberLight Game Studio,0,特别好评,166,83.0,特别好评,14768,83.0,1460
https://store.steampowered.com/app/2187220/,2187220,逆轉裁判456　王泥喜精選集,"冒险
视觉小说
推理
动漫
调查
悬疑
3D
犯罪
单人
自选历险体验
剧情丰富
基于文字
好评原声音轨
LGBTQ+
指向点击","律师　王泥喜法介的成长故事堂堂复苏！ 以新人律师""王泥喜法介""与传奇律师""成步堂龙一""为主角的3部人气作品将集合为一全新登场！ 收录《逆转裁判4》、《逆转裁判5》及《逆转裁判6》本篇故事14章及下载内容的特别编2章，共有16章！ 本作除了是""逆转裁判""粉丝们期待已久的精选集之余，亦是同系列中收录了最多丰富内容的作品！ 除了日语和英语外，本作更支持法语、德语、中文（繁体／简体）及韩语，令玩家能以多种语言来游玩《逆转裁判456》！ 来体验更精致，更为真实的法庭战斗吧！",2024 年 1 月 24 日,"CAPCOM Co., Ltd.",0,特别好评,96,93.0,特别好评,1098,92.0,4440
https://store.steampowered.com/app/392160/,392160,X4: Foundations,"太空模拟
沙盒
飞行
模拟
经济
贸易
资本主义
探索
太空
基地建设
策略
第一人称
3D
程序生成
大战略
开放世界
管理
建造
单人
沉浸式",《X4：基石》是一个巨大的太空沙盒模拟器，在你的游戏系统中生存和呼吸。数以千计的战舰和站点进行贸易、采矿和生产，所有这些都是真实化模拟。在这个宇宙中，你可以从驾驶战斗机的孤独飞行员，成长到管理一个庞大的帝国，指挥你的舰队和设计巨大的空间站。从第一人称的行动中登船并参观他们的战舰，到广阔的战略和管理模拟的无缝过渡。以你自己的节奏选择你自己的道路。决定权在你手中。贸易-战斗-建设-思考。,2018 年 11 月 30 日,Egosoft,0,特别好评,305,83.0,多半好评,16230,77.0,15074
https://store.steampowered.com/app/1895880/,1895880,瑞奇与叮当 时空跳转,"冒险
3D 平台
单人
动作冒险
第三人称
孩童
动作
第三人称射击
科幻
平台游戏
欢乐
卡通风格
射击
可爱
开放世界
女性主角
彩色
剧情丰富
合作
太空",与瑞奇和叮当一起开启火力十足的空间穿越冒险之旅，现已登陆PC！对抗来自另一个世界的邪恶统治者。以超乎想象的速度在充满刺激战斗的世界间穿梭！,2023 年 7 月 26 日,Insomniac Games,0,特别好评,138,84.0,特别好评,5841,89.0,8038
https://store.steampowered.com/app/230290/,230290,Universe Sandbox,"沙盒
太空
模拟
物理
科学
破坏
拟真
上帝模拟
教育
单人
抢先体验
虚拟现实
开放世界
独立
休闲
氛围
科幻
好评原声音轨
探索
太空模拟",在不可想象的尺度上进行创造和毁灭... 一款结合了实时模拟重力、气候、碰撞和物质相互作用功能的宇宙模拟软件，让你感受宇宙的神奇和我们星球的脆弱。现已支持HTC Vive、Oculus Rift+Touch和Windows MR。,2015 年 8 月 24 日,Giant Army,0,好评如潮,297,95.0,好评如潮,20330,96.0,723
https://store.steampowered.com/app/2022670/,2022670,索尼克 超级巨星,"动作
平台游戏
2D 平台
冒险
休闲
动作冒险
2D
彩色
快节奏
单人
卡通
多人
好评原声音轨
本地多人
氛围
4 人本地
本地合作
孩童
2.5D
复古",“刺猬索尼克”系列全新作品登场！ 本作中不仅可以操控索尼克和塔尔斯，更可以操控纳克鲁斯和艾咪进行游玩！使用飞行及攀墙等充满特色的独特能力，在北极星群岛自由驰骋吧！ 此外本作还拥有系列首次加入的本地4人联机游戏及在线对战功能。,2023 年 10 月 16 日,SEGA,0,褒贬不一,47,63.0,褒贬不一,1834,69.0,1783
